iter	Passed	Remaining
0	158	79011
1	209	52093
2	236	39210
3	287	35696
4	321	31876
5	369	30427
6	420	29612
7	437	26912
8	469	25591
9	485	23797
10	509	22644
11	557	22664
12	595	22313
13	613	21287
14	660	21358
15	696	21078
16	757	21515
17	803	21504
18	849	21499
19	908	21811
20	954	21772
21	1001	21766
22	1048	21751
23	1095	21734
24	1140	21676
25	1187	21646
26	1238	21694
27	1284	21656
28	1330	21611
29	1378	21594
30	1424	21555
31	1471	21520
32	1518	21486
33	1535	21043
34	1559	20718
35	1576	20318
36	1631	20418
37	1684	20479
38	1731	20472
39	1778	20455
40	1825	20434
41	1850	20182
42	1898	20178
43	1945	20165
44	1990	20121
45	2036	20097
46	2082	20072
47	2120	19965
48	2151	19801
49	2198	19783
50	2246	19778
51	2292	19753
52	2330	19658
53	2377	19635
54	2423	19605
55	2471	19594
56	2517	19567
57	2566	19557
58	2611	19519
59	2657	19488
60	2687	19344
61	2735	19324
62	2780	19289
63	2827	19262
64	2873	19228
65	2919	19195
66	2964	19157
67	3010	19126
68	3058	19104
69	3105	19075
70	3150	19033
71	3195	18994
72	3242	18966
73	3288	18932
74	3333	18890
75	3380	18860
76	3425	18820
77	3471	18781
78	3522	18772
79	3568	18736
80	3613	18689
81	3660	18658
82	3704	18614
83	3752	18584
84	3800	18555
85	3848	18528
86	3893	18483
87	3939	18441
88	3983	18394
89	4030	18360
90	4068	18287
91	4086	18123
92	4130	18077
93	4176	18040
94	4224	18010
95	4270	17972
96	4315	17927
97	4361	17890
98	4407	17852
99	4453	17815
100	4486	17722
101	4535	17698
102	4582	17660
103	4633	17644
104	4680	17609
105	4733	17596
106	4780	17556
107	4825	17515
108	4872	17477
109	4919	17442
110	4929	17274
111	4964	17198
112	5014	17172
113	5032	17041
114	5082	17014
115	5132	16989
116	5178	16953
117	5226	16918
118	5243	16786
119	5288	16748
120	5336	16716
121	5382	16677
122	5427	16636
123	5473	16597
124	5490	16471
125	5536	16433
126	5582	16396
127	5630	16364
128	5678	16332
129	5711	16255
130	5761	16230
131	5810	16198
132	5857	16162
133	5905	16130
134	5952	16093
135	6000	16060
136	6047	16022
137	6064	15908
138	6111	15873
139	6159	15838
140	6190	15762
141	6238	15727
142	6285	15692
143	6332	15654
144	6383	15629
145	6431	15593
146	6480	15562
147	6529	15528
148	6575	15489
149	6592	15382
150	6638	15344
151	6685	15306
152	6730	15264
153	6778	15228
154	6823	15187
155	6870	15149
156	6917	15113
157	6946	15036
158	7000	15013
159	7047	14975
160	7093	14935
161	7103	14820
162	7150	14782
163	7196	14743
164	7242	14705
165	7290	14668
166	7339	14634
167	7387	14599
168	7440	14573
169	7487	14533
170	7533	14493
171	7578	14452
172	7628	14418
173	7675	14380
174	7723	14343
175	7770	14304
176	7819	14269
177	7866	14230
178	7914	14192
179	7961	14153
180	8009	14116
181	8057	14078
182	8103	14037
183	8126	13956
184	8172	13915
185	8218	13873
186	8263	13832
187	8309	13790
188	8356	13751
189	8381	13674
190	8391	13575
191	8416	13502
192	8464	13463
193	8511	13424
194	8528	13338
195	8565	13285
196	8612	13246
197	8659	13207
198	8705	13168
199	8750	13126
200	8798	13088
201	8844	13047
202	8890	13007
203	8938	12969
204	8984	12928
205	9030	12888
206	9077	12848
207	9121	12805
208	9167	12764
209	9214	12724
210	9260	12683
211	9311	12649
212	9343	12589
213	9389	12548
214	9435	12507
215	9483	12469
216	9518	12413
217	9565	12373
218	9611	12332
219	9657	12291
220	9703	12250
221	9750	12209
222	9797	12170
223	9843	12128
224	9895	12094
225	9940	12052
226	9981	12004
227	10031	11967
228	10078	11926
229	10087	11841
230	10138	11805
231	10185	11766
232	10232	11725
233	10279	11685
234	10325	11644
235	10372	11602
236	10403	11544
237	10420	11470
238	10465	11429
239	10510	11386
240	10557	11346
241	10605	11306
242	10651	11264
243	10702	11228
244	10749	11188
245	10798	11149
246	10844	11108
247	10892	11068
248	10938	11026
249	10948	10948
250	10995	10908
251	11043	10867
252	11089	10826
253	11136	10785
254	11185	10746
255	11196	10671
256	11242	10630
257	11290	10590
258	11346	10557
259	11407	10530
260	11458	10492
261	11510	10455
262	11562	10419
263	11620	10388
264	11672	10350
265	11731	10320
266	11782	10282
267	11830	10241
268	11882	10203
269	11929	10161
270	11976	10120
271	12001	10060
272	12048	10018
273	12094	9975
274	12141	9934
275	12187	9891
276	12233	9849
277	12279	9805
278	12327	9764
279	12397	9740
280	12447	9701
281	12511	9671
282	12559	9630
283	12607	9588
284	12655	9546
285	12711	9511
286	12762	9471
287	12811	9430
288	12859	9388
289	12909	9348
290	12959	9307
291	13009	9266
292	13059	9226
293	13107	9184
294	13161	9146
295	13212	9105
296	13265	9066
297	13320	9029
298	13372	8989
299	13424	8949
300	13477	8910
301	13528	8869
302	13580	8829
303	13638	8793
304	13690	8753
305	13743	8713
306	13798	8674
307	13852	8635
308	13904	8594
309	13954	8552
310	14006	8512
311	14056	8469
312	14109	8429
313	14161	8388
314	14212	8347
315	14265	8306
316	14318	8265
317	14371	8225
318	14423	8183
319	14476	8142
320	14530	8102
321	14583	8061
322	14640	8022
323	14695	7982
324	14756	7945
325	14809	7904
326	14862	7862
327	14917	7822
328	14961	7776
329	15015	7735
330	15070	7694
331	15123	7652
332	15178	7612
333	15233	7570
334	15287	7529
335	15342	7488
336	15396	7447
337	15449	7404
338	15503	7362
339	15555	7320
340	15608	7277
341	15660	7234
342	15712	7192
343	15767	7150
344	15820	7107
345	15872	7064
346	15925	7021
347	15977	6978
348	16031	6936
349	16083	6893
350	16136	6849
351	16189	6806
352	16240	6763
353	16292	6719
354	16344	6676
355	16393	6631
356	16445	6587
357	16498	6544
358	16549	6499
359	16598	6455
360	16651	6411
361	16699	6366
362	16750	6321
363	16798	6276
364	16849	6232
365	16900	6187
366	16951	6143
367	17001	6098
368	17052	6053
369	17104	6009
370	17155	5965
371	17209	5921
372	17260	5876
373	17312	5832
374	17363	5787
375	17413	5742
376	17462	5697
377	17523	5655
378	17572	5610
379	17623	5565
380	17680	5522
381	17733	5477
382	17795	5436
383	17862	5396
384	17931	5356
385	17990	5313
386	18064	5274
387	18114	5228
388	18162	5182
389	18208	5135
390	18253	5088
391	18296	5040
392	18342	4993
393	18385	4946
394	18435	4900
395	18480	4853
396	18525	4806
397	18570	4759
398	18614	4712
399	18658	4664
400	18702	4617
401	18748	4570
402	18803	4525
403	18847	4478
404	18893	4431
405	18964	4390
406	19013	4344
407	19060	4297
408	19105	4250
409	19150	4203
410	19196	4156
411	19241	4109
412	19287	4062
413	19333	4016
414	19377	3968
415	19423	3921
416	19469	3875
417	19513	3828
418	19561	3781
419	19606	3734
420	19651	3687
421	19697	3640
422	19741	3593
423	19788	3546
424	19834	3500
425	19879	3453
426	19923	3406
427	19970	3359
428	20020	3313
429	20068	3267
430	20116	3220
431	20164	3174
432	20212	3127
433	20261	3081
434	20310	3034
435	20358	2988
436	20407	2942
437	20455	2895
438	20505	2849
439	20554	2802
440	20603	2756
441	20651	2709
442	20700	2663
443	20749	2617
444	20799	2570
445	20852	2524
446	20902	2478
447	20951	2431
448	21001	2385
449	21050	2338
450	21099	2292
451	21148	2245
452	21198	2199
453	21250	2153
454	21301	2106
455	21352	2060
456	21402	2013
457	21453	1967
458	21505	1920
459	21556	1874
460	21607	1827
461	21658	1781
462	21708	1734
463	21760	1688
464	21813	1641
465	21863	1595
466	21915	1548
467	21966	1501
468	22017	1455
469	22067	1408
470	22118	1361
471	22169	1315
472	22220	1268
473	22274	1221
474	22327	1175
475	22379	1128
476	22432	1081
477	22486	1034
478	22537	988
479	22593	941
480	22645	894
481	22709	848
482	22768	801
483	22821	754
484	22873	707
485	22924	660
486	22975	613
487	23025	566
488	23077	519
