gstin,business_name,sector,profile,scenario_resilience_lp,output_gst,input_gst,avg_days_late,filing_compliance_rate,upi_bounce_rate,txn_velocity_mom,buyer_concentration_index,collection_efficiency,circular_transaction_flag,promoter_cibil,is_default,is_fraud,gross_margin_proxy,avg_round_trip_hours
31QEIII3060M1Z2,"Sridhar, Dave and Mannan",Retail,STRESSED_BUSINESS,100.0,177700.7101443382,193629.4,26.59374090420992,0.43980303399782184,0.2004170800689214,-0.4809948383296568,0.715,0.65,0.0,581.0,1.0,0.0,-0.0155,
10SPBSM1946I1Z3,Morar Ltd,Manufacturing,THIN_FILE_NEWCOMER,93.10867424521682,281966.37132654124,161220.7,4.34028859633491,0.5540361867547511,0.0367522901325918,0.362743737435244,0.6,0.85,0.0,792.0,0.0,0.0,0.1137,
35OCFWN4029V1Z3,"Char, Shere and Das",Services,STRESSED_BUSINESS,100.0,521940.1827974884,264315.6,20.0,0.38835709119124556,0.3647296607011983,-0.0986914931794727,0.765,0.65,0.0,563.0,1.0,0.0,0.0913,
29OBQFV0902E1Z4,Ramesh-Bath,Wholesale,HEALTHY_GROWER,100.0,2118367.574850428,2232449.1,1.6042599455480775,0.758278732560275,0.0288335460550294,0.1102622758005892,0.089,0.98,0.0,806.0,0.0,0.0,0.2089,
33GZPGF8832K1Z4,"Ghosh, Murty and Setty",Financials,CIRCULAR_FRAUDSTER,84.65386861388747,9360404.079988372,5369881.3,21.71313811805329,0.42328494511303943,0.2261300737715744,-0.4894898357552292,0.95,1.0,1.0,794.0,0.0,1.0,0.0057,24.0
31GGWZM3825W1Z1,Agarwal Ltd,Financials,THIN_FILE_NEWCOMER,91.38471524536568,60351.61507279849,44765.3,22.21579127206835,0.5925254912131988,0.2047167610129241,-0.4209180670273891,0.6,0.85,0.0,822.0,0.0,0.0,0.1605,
24YCLMK0328F1Z8,Bumb-Chakrabarti,Logistics,THIN_FILE_NEWCOMER,100.0,53109.08816364566,39750.4,5.639841032321777,0.8729542874124089,0.0447926756570672,0.1754851195183646,0.6,0.85,0.0,794.0,0.0,0.0,0.186,
15TXGYF2727R1Z0,"Nazareth, Raj and Chahal",Wholesale,STRESSED_BUSINESS,98.43297008584013,15098.790035906382,60267.5,15.4198574218985,0.4095938661358426,0.226238419822028,-0.3726075454104441,0.547,0.65,0.0,632.0,1.0,0.0,0.0574,
23BNQPI3863C1Z9,"Sarna, Subramanian and Varghese",Retail,HEALTHY_GROWER,100.0,4057057.721361245,2955346.0,18.91068468930001,0.6523739903998105,0.1568953681478566,-0.4820978465843307,0.162,0.98,0.0,796.0,0.0,0.0,0.2023,
11RNVZW4219C1Z2,Shere Group,Wholesale,CIRCULAR_FRAUDSTER,100.0,991920.0132333747,3469509.1,19.10459732404346,0.283303397701983,0.1670615535366225,-0.4386098144441892,0.95,1.0,1.0,778.0,0.0,1.0,0.0119,24.0
10ZNKYT8631W1Z1,"Kannan, Basak and Deep",Services,CIRCULAR_FRAUDSTER,99.63151629849146,4730581.760877694,3992801.8,2.3,0.8539307936911689,0.0,0.05,0.95,1.0,1.0,718.0,0.0,1.0,0.0155,18.02
25IBJHM8810X1Z7,Sankar-Balan,Manufacturing,HEALTHY_GROWER,99.26065824595814,2714638.534263417,1162356.8,29.533484595009263,0.5022956814575595,0.2100002355414242,-0.3766252651904685,0.113,0.98,0.0,777.0,0.0,0.0,0.3126,
