gstin,business_name,sector,profile,scenario_resilience_lp,output_gst,input_gst,avg_days_late,filing_compliance_rate,upi_bounce_rate,txn_velocity_mom,buyer_concentration_index,collection_efficiency,circular_transaction_flag,promoter_cibil,is_default,is_fraud,gross_margin_proxy,avg_round_trip_hours
33SUXZZ2218X1Z1,Kashyap Inc,Logistics,STRESSED_BUSINESS,100.0,22919.901669501756,59916.1,24.8,0.7464763970929468,0.3193554235827006,-0.3207712524786289,0.794,0.65,0,584,1,0,-0.1683,
14YWMDG3562Y1Z3,"Anand, Chandran and Mukhopadhyay",Financials,THIN_FILE_NEWCOMER,100.0,226632.30070195693,92662.3,5.190695610241988,0.7533894881695061,0.0701748984440451,0.0673022727299306,0.6,0.85,0,814,0,0,0.1397,
15HVOSV1645E1Z8,Dash-Balay,Retail,STRESSED_BUSINESS,94.0209907934358,78922.9874122233,125502.1,20.0,0.5640861368771476,0.1985689804427541,-0.2086328845837156,0.522,0.65,0,586,1,0,-0.1277,
18UZFBE1356T1Z1,Krishnamurthy Ltd,Construction,HEALTHY_GROWER,93.91374388138372,1741331.7827362143,1938850.6,0.0,0.920202589046393,0.0241297420844043,0.1347151189198947,0.086,0.98,0,780,0,0,0.415,
19MBWPY4089G1Z8,Talwar-Iyengar,Construction,CIRCULAR_FRAUDSTER,100.0,8691811.742178176,9725098.0,27.06070600744047,0.5376578142135425,0.1807991163480002,-0.4133545618046919,0.95,1.0,1,713,0,1,0.0001,16.95
10VXHOX3168Q1Z8,"Sant, Borde and Ramachandran",Logistics,THIN_FILE_NEWCOMER,100.0,40881.41439811993,76121.0,25.25511328524649,0.6357671445168869,0.1987950064457652,-0.4277520851101828,0.6,0.85,0,800,0,0,0.1013,
30ZTXQU9123K1Z8,Salvi-Kata,Wholesale,THIN_FILE_NEWCOMER,100.0,6547.665701327827,11097.4,3.894691510648872,0.7575235173668438,0.0706895504592721,0.1011660357119074,0.6,0.85,0,772,0,0,0.2976,
10LPUJB6873M1Z1,Cheema-Shroff,Financials,STRESSED_BUSINESS,100.0,942829.6019240539,704649.2,22.375087842358752,0.46166922836340224,0.200282993083911,-0.4619100735097164,0.628,0.65,0,625,1,0,-0.0011,
16BSSLP6120I1Z9,De Group,Financials,HEALTHY_GROWER,94.16612894981412,4043072.768620565,2255561.2,0.3767463110106874,0.7784140326919778,0.0410207417960908,0.1159369478120186,0.074,0.98,0,823,0,0,0.4991,
30UAIHF7193G1Z2,"Seth, Singhal and Issac",Retail,CIRCULAR_FRAUDSTER,80.42278931334968,6519235.124770271,9401228.6,3.7,0.8670430820949453,0.0,0.05,0.95,1.0,1,708,0,1,0.0181,23.92
20BXLEP9491T1Z3,Sachdev PLC,Manufacturing,CIRCULAR_FRAUDSTER,98.25677753022148,13060102.758682951,9493629.7,18.916038237034805,0.39051656953797337,0.2324383164334283,-0.3632196658907859,0.95,1.0,1,705,0,1,0.02,24.0
27AZDHA3868U1Z6,Aurora Inc,Construction,HEALTHY_GROWER,100.0,2403589.8037818554,1081112.9,1.7923398047105712,0.7294965597835947,0.0171044710733249,0.1124693068044836,0.231,0.98,0,767,0,0,0.4771,
31XGMEM9243G1Z2,Bajwa PLC,Retail,HEALTHY_GROWER,100.0,3693550.3672138383,1604959.4,2.3210302351900505,0.9209483267557357,0.0446927251301608,0.1735361080291839,0.219,0.98,0,827,0,0,0.4438,
33OPVSL0233Y1Z4,Rajagopal Inc,Wholesale,STRESSED_BUSINESS,96.27546721126174,354516.8042634935,443649.3,20.0,0.8018840755027562,0.1697121942232871,-0.2672912402619077,0.772,0.65,0,632,1,0,-0.075,
14OJQYN6887X1Z7,Chada-Korpal,Wholesale,SEASONAL_BUSINESS,93.95951573548308,293417.0410521457,284493.7,15.73816996468878,0.5628641760516911,0.2009100851553673,-0.4374291759739295,0.4,0.8,0,736,1,0,0.3642,
28YOJMY1011Z1Z3,Nadig-Lalla,Financials,HEALTHY_GROWER,89.76506638502813,5713042.302880234,2430526.7,0.6997473072685432,0.8574498651182646,0.0380510504464627,0.1537129983964218,0.083,0.98,0,825,0,0,0.4878,
18ZMNGJ9596F1Z3,Pal PLC,Construction,THIN_FILE_NEWCOMER,91.72493868771294,407631.1671408749,103175.0,4.1331225426427896,0.8936925705488955,0.012565371837958,0.2411113481382806,0.6,0.85,0,850,1,0,0.201,
31BQUNN0573T1Z1,Chaudhry-Pandya,Retail,HEALTHY_GROWER,91.30710427536452,2748826.1486378605,1102174.0,1.2236589985959268,0.5156287472726998,0.0092655964111178,0.1471448262985693,0.147,0.98,0,777,0,0,0.3183,
36AEEZN5710P1Z6,Bumb Inc,Financials,SEASONAL_BUSINESS,85.16079656422144,151470.6246289403,133596.5,10.0,0.5992420402043084,0.05,-0.0897142287259303,0.4,0.8,0,724,0,0,0.2279,
30EOINL1658H1Z7,"Palla, Bawa and Hayer",Logistics,CIRCULAR_FRAUDSTER,100.0,5915718.0814200025,6586744.4,23.677809037591416,0.6041472083836721,0.2217937355200125,-0.4244056584712447,0.95,1.0,1,761,0,1,0.0142,17.71
32VFNTR2506S1Z7,Rege-Bobal,Retail,HEALTHY_GROWER,100.0,868866.1606595684,2027908.1,0.0542414110670506,0.587653777037704,0.0040078355124753,0.1111810273985171,0.06,0.98,0,795,0,0,0.3591,
13CWKGE3462A1Z9,Kapur-Bhagat,Manufacturing,HEALTHY_GROWER,100.0,979199.0024858073,1152253.0,19.39217612551156,0.4348914233552265,0.2239438218372836,-0.4758461971309569,0.188,0.98,0,764,0,0,0.4521,
